n,seconds
1,0.0000278000
2,0.0000045000
3,0.0000074000
4,0.0000136000
5,0.0000285000
6,0.0000586000
7,0.0001293000
8,0.0002810000
9,0.0006790000
10,0.0012914000
11,0.0027626000
12,0.0058576000
13,0.0123373000
14,0.0252061000
15,0.0516773000
16,0.1106264000
17,0.2529883000
18,0.4552005000
19,0.9685916000
20,2.0671843000
21,4.1448525000
22,8.6263119000
